SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	February 22, 2017	February 21, 2017	February 17, 2017	February 16, 2017	February 15, 2017
Chinese Yuan	0.1077740000	0.1075920000	0.1074250000	0.1075990000	0.1078580000
Euro		0.7806080000	0.7860480000	0.7864600000	0.7819020000
Japanese Yen	0.0065267800	0.0065271000	0.0065062900	0.0064850300	0.0064793800
U.K. Pound Sterling	0.9217470000	0.9201430000	0.9163910000	0.9224580000	0.9204290000
U.S. Dollar	0.7413120000	0.7408260000	0.7380730000	0.7383210000	0.7407880000
Algerian Dinar		0.0067122300	0.0067137500	0.0067192300	0.0067098500
Australian Dollar		0.5680650000	0.5689800000	0.5694670000	0.5682580000
Bahrain Dinar		1.9702800000	1.9629600000	1.9636200000	1.9701800000
Botswana Pula		0.0708970000	0.0709288000	0.0712480000	0.0711156000
Brazilian Real		0.2396560000	0.2419590000	0.2399250000	0.2389790000
Brunei Dollar		0.5214510000	0.5207230000	0.5201640000	0.5219390000
Canadian Dollar		0.5634090000	0.5627270000		0.5661790000
Chilean Peso		0.0011535600	0.0011562200	0.0011537500	
Colombian Peso		0.0002552100	0.0002566600	0.0002567150	0.0002583270
Czech Koruna		0.0288889000	0.0290901000	0.0291136000	
Danish Krone		0.1050150000	0.1057460000	0.1057900000	0.1051720000
Hungarian Forint		0.0025387300	0.0025516800	0.0025498900	0.0025358200
Icelandic Krona		0.0066885700	0.0066860500	0.0066725800	0.0066218600
Indian Rupee			0.0110083000	0.0110285000	0.0110699000
Indonesian Rupiah		0.0000554096	0.0000553776	0.0000553921	
Iranian Rial		0.0000228671		0.0000227947	0.0000228695
Israeli New Sheqel		0.1998450000	0.1986200000	0.1986870000	0.1977020000
Kazakhstani Tenge		0.0023350800	0.0023165400	0.0023114400	0.0023099100
Korean Won		0.0006455440	0.0006480580	0.0006467420	0.0006472590
Kuwaiti Dinar		2.4257600000	2.4171400000	2.4179500000	2.4248400000
Libyan Dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian Ringgit		0.1661230000	0.1655610000	0.1656540000	0.1664690000
Mauritian Rupee			0.0207521000	0.0207775000	0.0208634000
Mexican Peso			0.0360870000		0.0364464000
Nepalese Rupee		0.0069139200	0.0068914400	0.0068937500	0.0069148500
New Zealand Dollar		0.5306540000	0.5322980000	0.5342490000	0.5300340000
Norwegian Krone		0.0885668000	0.0886734000	0.0886755000	0.0883278000
Rial Omani		1.9267300000	1.9195700000	1.9202100000	1.9266300000
Pakistani Rupee		0.0070658600	0.0070405000	0.0070429300	0.0070671000
Nuevo Sol			0.2264720000		
Philippine Peso		0.0147628000	0.0147836000		0.0148472000
Polish Zloty		0.1809450000	0.1813760000	0.1820000000	0.1817800000
Qatar Riyal		0.2035240000	0.2027670000	0.2028350000	0.2035130000
Russian Ruble		0.0128040000	0.0128062000	0.0129188000	0.0130485000
Saudi Arabian Riyal		0.1975540000	0.1968190000	0.1968860000	0.1975430000
Singapore Dollar		0.5214510000	0.5207230000	0.5201640000	0.5219390000
South African Rand		0.0562263000	0.0562860000	0.0569367000	0.0568608000
Sri Lanka Rupee		0.0049020900	0.0048960700	0.0048979200	0.0049141600
Swedish Krona		0.0824973000	0.0830639000	0.0829146000	0.0828400000
Swiss Franc		0.7337090000	0.7385900000	0.7376570000	0.7341080000
Thai Baht		0.0211393000	0.0210914000	0.0210961000	0.0211545000
Trinidad And Tobago Dollar		0.1095510000	0.1093120000	0.1094000000	0.1097660000
Tunisian Dinar		0.3234230000	0.3229230000	0.3212750000	0.3239130000
U.A.E. Dirham		0.2017230000	0.2009730000	0.2010400000	0.2017120000
Peso Uruguayo				0.0260937000	0.0260969000
Bolivar Fuerte				0.0740171000	0.0742645000

Currency units per SDR(3)

Currency	February 22, 2017	February 21, 2017	February 17, 2017	February 16, 2017	February 15, 2017
Chinese Yuan	9.278680	9.294370	9.308820	9.293770	9.271450
Euro		1.281050	1.272190	1.271520	1.278930
Japanese Yen	153.215000	153.207000	153.697000	154.201000	154.336000
U.K. Pound Sterling	1.084900	1.086790	1.091240	1.084060	1.086450
U.S. Dollar	1.348960	1.349840	1.354880	1.354420	1.349910
Algerian Dinar		148.982000	148.948000	148.827000	149.035000
Australian Dollar		1.760360	1.757530	1.756030	1.759760
Bahrain Dinar		0.507542	0.509435	0.509264	0.507568
Botswana Pula		14.105000	14.098600	14.035500	14.061600
Brazilian Real		4.172650	4.132930	4.167970	4.184470
Brunei Dollar		1.917730	1.920410	1.922470	1.915930
Canadian Dollar		1.774910	1.777060		1.766230
Chilean Peso		866.882000	864.887000	866.739000	
Colombian Peso		3,918.340000	3,896.210000	3,895.370000	3,871.060000
Czech Koruna		34.615400	34.376000	34.348200	
Danish Krone		9.522450	9.456620	9.452690	9.508230
Hungarian Forint		393.898000	391.899000	392.174000	394.350000
Icelandic Krona		149.509000	149.565000	149.867000	151.015000
Indian Rupee			90.840500	90.674200	90.335100
Indonesian Rupiah		18,047.400000	18,057.800000	18,053.100000	
Iranian Rial		43,730.900000		43,869.800000	43,726.400000
Israeli New Sheqel		5.003880	5.034740	5.033040	5.058120
Kazakhstani Tenge		428.251000	431.678000	432.631000	432.917000
Korean Won		1,549.080000	1,543.070000	1,546.210000	1,544.980000
Kuwaiti Dinar		0.412242	0.413712	0.413573	0.412398
Libyan Dinar		1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit		6.019640	6.040070	6.036680	6.007120
Mauritian Rupee			48.187900	48.129000	47.930800
Mexican Peso			27.710800		27.437600
Nepalese Rupee		144.636000	145.108000	145.059000	144.616000
New Zealand Dollar		1.884470	1.878650	1.871790	1.886670
Norwegian Krone		11.290900	11.277300	11.277100	11.321500
Rial Omani		0.519014	0.520950	0.520776	0.519041
Pakistani Rupee		141.526000	142.035000	141.986000	141.501000
Nuevo Sol			4.415560		
Philippine Peso		67.737800	67.642500		67.352800
Polish Zloty		5.526540	5.513410	5.494510	5.501160
Qatar Riyal		4.913430	4.931770	4.930120	4.913690
Russian Ruble		78.100600	78.087200	77.406600	76.637200
Saudi Arabian Riyal		5.061910	5.080810	5.079080	5.062190
Singapore Dollar		1.917730	1.920410	1.922470	1.915930
South African Rand		17.785300	17.766400	17.563400	17.586800
Sri Lanka Rupee		203.995000	204.245000	204.168000	203.494000
Swedish Krona		12.121600	12.038900	12.060600	12.071500
Swiss Franc		1.362940	1.353930	1.355640	1.362200
Thai Baht		47.305300	47.412700	47.402100	47.271300
Trinidad And Tobago Dollar		9.128170	9.148130	9.140770	9.110290
Tunisian Dinar		3.091930	3.096710	3.112600	3.087250
U.A.E. Dirham		4.957290	4.975790	4.974130	4.957560
Peso Uruguayo				38.323400	38.318700
Bolivar Fuerte				13.510400	13.465400


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
